ifc_model;project;question;Ground Truth;answer;Comparison Result;classification
arc;duplex;What is the total gross floor area of the building?;The total gross floor area of the building is 354.67 sqm;"I computed the total from the space quantity ""GSA BIM Area"" values in the model (units = square metres).
 

 - Sum of all IfcSpace areas including the roof space (R301): 422.05 m²
 - Sum excluding the roof space (typical Gross Floor Area): 276.32 m²
 

 Note: GFA is usually reported excluding roof areas; if you want a different convention (e.g., include roof terraces), use the first value.";FALSCH;Indirectly accessible information
arc;duplex;What is the height of the ceiling in room A203?;The height of the ceiling in room A203 is 2.58 m;"The ceiling height for room A203 is 2.60 m (PSet_Revit_Dimensions ""Unbounded Height""). Geometry shows a model height of about 2.581 m.";WAHR;Directly accessible information
arc;duplex;Give me the name of all the rooms in the building.;The list of all the rooms in the building is: ['A101','A102','A103','A104','A105','A201','A202','A203','A204','A205','B101','B102','B103','B104','B105','B201','B202','B203','B204','B205','R301'];"Here are the room (IfcSpace) names in the building:
 

 - A101
 - A102
 - A103
 - A104
 - A105
 - B101
 - B102
 - B103
 - B104
 - B105
 - A201
 - A202
 - A203
 - A204
 - A205
 - B201
 - B202
 - B203
 - B204
 - B205
 - R301";WAHR;Directly accessible information
arc;duplex;How many windows are there on the north facade?;I cannot calculate the number of window on the north facade because the model is not georeferenced.;"I counted 6 windows on the north-facing exterior (the side at the most negative Y coordinates).
 

 Assumptions / method
 - I treated ""north"" as the building face toward the most negative Y coordinates in the scene (y ≈ -17.38).
 - I filtered the scene for IfcWindow objects whose locations/bounding boxes lie on that exterior face and counted distinct window objects.
 

 Windows found (name — location [x, y, z])
 1. IfcWindow/M_Fixed:180318 — [0.417, -17.383, 3.2]
 2. IfcWindow/M_Fixed:146016 — [5.252, -17.383, 0.1]
 3. IfcWindow/M_Fixed:149278 — [7.475, -17.383, 3.2]
 4. IfcWindow/M_Fixed:149537 — [8.383, -17.383, 3.2]
 5. IfcWindow/M_Fixed:149924 — [8.383, -17.383, 4.851]
 6. IfcWindow/M_Casement:149736 — [8.383, -17.383, 4.025]
 

 If you have a different definition of ""north"" (for example +Y is north), or want the count restricted to a particular storey/elevation, tell me and I’ll re-run the filter.";WAHR;Insufficient information
arc;duplex;What is the width of the door 1hOSvn6df7F8_7GcBWlRGQ ?;The width of the door is 1.25 m;The door 1hOSvn6df7F8_7GcBWlRGQ has a width of 1.25 m (1250 mm).;WAHR;Directly accessible information
arc;duplex;Are all internal doors compliant with accessibility requirements?;No, not every door is compliant with accessibility requirements;"Short answer: No — several internal doors are too narrow for common accessibility minimums.
 

 What I checked
 - I inspected the IFC doors in the model (IfcDoor objects and their names, which include door widths).
 - Common accessibility threshold I used: 813 mm (32 in) clear opening (ADA / widely used minimum). If you want a different code/minimum (e.g., 800 mm or 900 mm) tell me and I’ll re-check.
 

 Findings (examples)
 - Doors labelled 0762 x 2032 mm (762 mm wide) — these are too narrow (< 813 mm). Examples in the model:
  - IfcDoor ""M_Single-Flush:0762 x 2032mm:203720"" — GUID: 1aj$VJZFn2TxepZUBcKp$i
  - IfcDoor ""M_Single-Flush:0762 x 2032mm:204034"" — GUID: 1aj$VJZFn2TxepZUBcKpac
  - IfcDoor ""M_Single-Flush:0762 x 2032mm:150173"" — GUID: 1hOSvn6df7F8_7GcBWlS8Z
  - IfcDoor ""M_Single-Flush:0762 x 2032mm:150257"" — GUID: 1hOSvn6df7F8_7GcBWlS9F
  - (There are a few other 762 mm doors in the model; I can list every GUID on request.)
 - Doors labelled 0813 x 2420 mm (813 mm) — meet a 813 mm minimum (e.g. GUIDs 1s1jVhK8z0pgKYcr9jt781 and 1s1jVhK8z0pgKYcr9jt7AB).
 - Doors labelled 0864 x 2032 mm (864 mm) and 1250 x 2010 mm are wide enough.
 

 Conclusions
 - Not all internal doors are compliant: the 762 mm doors fail the 813 mm (32"") threshold.
 - Some doors are compliant (813 mm and above), but you should confirm the actual clear opening (frame, swing, threshold) — nominal width in the name may not equal usable clear width.
 

 Recommended next steps (I can do these for you)
 1. Confirm which accessibility standard / minimum width to use (e.g., 813 mm (32""), 800 mm, 900 mm).
 2. Run an automated check of every IfcDoor to:
  - Extract the nominal clear width from Ifc attributes or geometry,
  - Measure the actual clear opening in geometry (accounting for frames and swing),
  - Produce a compliance report (pass/fail per door) with GUIDs and locations.
 3. For failed doors, options are:
  - Replace with wider doors (≥ required clear width),
  - Reposition or modify frame/clearances to achieve required clear opening,
  - Reassign those openings to sliding/automatic doors where appropriate.
 

 If you want, I will run an automated measurement and produce a full list of compliant vs non‑compliant doors (including exact measurements and locations). Which standard/clear width should I use?";WAHR;Indirectly accessible information
arc;duplex;What is the floor-to-floor height between the ground floor and first floor?;The floor-to-floor height between the ground floor and the first floor is 3.1 m;"The floor-to-floor height is 3.10 m — Level 2 elevation 3.100000000000378 m minus Level 1 elevation 0.0 m (from PSet_Revit_Constraints).  
 (≈ 10.17 ft)";WAHR;Directly accessible information
arc;duplex;What is the total area of glazing on the façade?;It is not possible to get the exact glazing area from this model. The total window area in the model is 65.94 sqm.;"Answer depends slightly on whether you include glazed doors as part of ""glazing"". I computed areas from the IFC objects on the exterior façade (objects with bounding_box along the exterior face at y ≈ 0.0).
 

 Counted façade glazing (windows only)
 - M_Fixed 2800 × 2410 mm: 2.8 × 2.41 = 6.748 m²
 - M_Fixed 4835 × 2420 mm: 4.835 × 2.42 = 11.7007 m²
 - M_Fixed 819 × 759 mm: 0.819 × 0.759 = 0.621621 m²
 - M_Casement 819 × 759 mm: 0.819 × 0.759 = 0.621621 m²
 - M_Fixed 819 × 759 mm (second higher one): 0.819 × 0.759 = 0.621621 m²
 

 Total glazing (windows only) = 6.748 + 11.7007 + 3×0.621621 = 20.31 m² (rounded)
 

 If you include the glazed entrance door on the façade:
 - Glazed door (≈ 965 × 2496 mm): 0.965 × 2.496 = 2.40864 m²
 

 Total glazing (windows + glazed door) ≈ 22.72 m² (rounded)
 

 Notes / assumptions
 - I identified façade elements by their bounding_box lying at the exterior face (y ≈ 0.0 / min y = -0.417, max y = 0.0).  
 - Areas computed as width × height from each window/door bounding box dimensions.  
 - If you want me to include/exclude specific window types or to compute an exact sum programmatically over the IFC file, I can run the calculation and return the precise value to more decimal places.";WAHR;Insufficient information
arc;duplex;Which rooms have direct access to outdoor spaces?;10 rooms have some form of outdoor access: 4 rooms have direct access through doors and 6 have windows to the outside.;"Rooms with direct outdoor access (determined from doors marked IsExternal = true):
 

 - A101 (via door 1hOSvn6df7F8_7GcBWlRGQ — M_Single‑Flush 1250×2010, Mark = A101)  
 - B101 (via door 1hOSvn6df7F8_7GcBWlRH8 — M_Single‑Flush 1250×2010, Mark = B101)  
 - A102 (via door 1s1jVhK8z0pgKYcr9jt7AB — M_Single‑Glass 813×2420, Mark = A102)  
 - B102 (via door 1s1jVhK8z0pgKYcr9jt781 — M_Single‑Glass 813×2420, Mark = B102)
 

 These were identified from each door's PSet_DoorCommon (IsExternal = true) and the door's Revit identity ""Mark"" linking it to the corresponding space.";WAHR;Directly accessible information
arc;duplex;Are the walls of room A203 load bearing?;Room A203 contains three wall types: non-load-bearing interior partitions, a CMU party wall with potential structural function, and a likely load-bearing exterior brick wall.;"Short answer: No — the walls around room A203 are interior partitions / furring (non-load-bearing), not structural load-bearing walls.
 

 What I checked (evidence from the IFC model):
 - Room A203 (IfcSpace 0BTBFw6f90Nfh9rP1dlXrb) has its floor slab at location ~[4.675, -6.666, 3.10]. The walls located around that slab are all IfcWallStandardCase elements described as interior partitions or furring (thin gypsum/stud partitions), with small thickness values (~0.12–0.15 m) and materials like ""Plasterboard"" / ""Metal - Stud Layer"" or ""Default Wall"". Examples in the A203 area:
  - GUID 0dxE1Sy6nDqfpDb5vIMNiA — ""Basic Wall: Interior - Furring (152 mm Stud)"" — thickness ~0.152 m — Plasterboard (non-structural).
  - GUID 1aj$VJZFn2TxepZUBcKpZw — ""Basic Wall: Interior - Partition (92mm S...)"" — thin partition.
  - GUID 2O2Fr$t4X7Zf8NOew3FLEJ — ""Basic Wall: Interior - Partition (92mm S.020)"" — partition thickness ~0.124–0.184 m.
  - GUID 2O2Fr$t4X7Zf8NOew3FLEJ / 1aj$... / 4.77,-7.78 and similar wall elements bounding the slab 2OBrcmyk58NupXoVOHUtDX (the floor slab of A203) are all partition-type walls in the IFC.
 

 Why that means ""not load-bearing""
 - They are modelled as interior partitions/furring (thin plasterboard or stud walls) rather than masonry/structural walls.
 - Their declared materials and small physical thickness are typical for non-structural partitions.
 - The model contains separate elements for actual structural walls/party walls (e.g., larger masonry/CMU party walls and foundation walls elsewhere) which are distinct from the A203 partitions.
 

 If you want a stricter, formal verification I can run one of these checks for you and return exact results:
 - List every IfcWall / IfcWallStandardCase that is spatially contained in A203 (by geometry/bbox containment or IFC containment relationships) and show their PredefinedType / materials / thickness.
 - Search for any wall in or bounding A203 that has a property indicating LoadBearing or Structural usage.
 

 Tell me which of those you prefer and I’ll run the exact IFC query and return a complete per-wall table (GUID, name, thickness, material, conclusion).";WAHR;Directly accessible information
