ifc_model;project;question;Ground Truth;answer;Comparison Result;classification
arc;duplex;What is the total gross floor area of the building?;The total gross floor area of the building is 354.67 sqm;"Total Gross Floor Area: 710.15 m²
Breakdown by Building Level:

Level 1: 315.60 m²
Level 2: 248.30 m²
Unknown (appears to be a roof slab): 146.25 m²

Summary:
The total gross floor area of habitable floors (Level 1 and Level 2) is 563.90 m². If you include the roof area, the total is 710.15 m².
The calculation was performed by analyzing the actual geometry of all floor slabs in the IFC model, excluding the foundation (T/FDN) and roof structural slabs. The floor slabs include both structural slabs and finish floor layers (ceramic tile and wood finishes).2 / 2Wiederholen";FALSCH;Indirectly accessible information
arc;duplex;What is the height of the ceiling in room A203?;The height of the ceiling in room A203 is 2.58 m;"Based on the IFC data for room A203, the ceiling height is 2.6 meters (approximately 8.53 feet).

This information comes from the property set ""PSet_Revit_Dimensions"" where the ""Unbounded Height"" is listed as 2.6 meters. This is also confirmed in the ""PSet_Revit_Constraints"" which shows a ""Limit Offset"" of 2.6 meters from the base level.

Additionally, room A203 is:

Named ""Bedroom 2""
Located on Level 2
Has a floor area of approximately 26.18 m²
Has a volume of approximately 56.89 m³";FALSCH;Directly accessible information
arc;duplex;Give me the name of all the rooms in the building.;The list of all the rooms in the building is: ['A101','A102','A103','A104','A105','A201','A202','A203','A204','A205','B101','B102','B103','B104','B105','B201','B202','B203','B204','B205','R301'];"Based on the IFC scene overview, here are all the rooms (spaces) in the building:
Level 1:

A101
A102
A103
A104
A105
B101
B102
B103
B104
B105

Level 2:

A201
A202
A203
A204
A205
B201
B202
B203
B204
B205

Roof:

R301

Total: 21 rooms across 3 building levels (Level 1, Level 2, and Roof).Wiederholen";WAHR;Directly accessible information
arc;duplex;How many windows are there on the north facade?;I cannot calculate the number of window on the north facade because the model is not georeferenced.;"Based on my analysis of the IFC building model, there are 7 windows on the north facade.
These windows are distributed across different levels:

Level 1 (Ground floor): 1 large window (4835mm x 2420mm)
Level 2: 2 large windows (2800mm and 819mm)
Roof level: 2 skylights (1180 x 1170mm each), 1 casement window, and 1 fixed window

The north facade is the side facing in the positive Y-direction in the building's coordinate system, which appears to be the front of the building visible in the 3D view.Wiederholen";FALSCH;Insufficient information
arc;duplex;What is the width of the door 1hOSvn6df7F8_7GcBWlRGQ ?;The width of the door is 1.25 m;The width of door 1hOSvn6df7F8_7GcBWlRGQ is 1.25 meters (or 1250mm).;WAHR;Directly accessible information
arc;duplex;Are all internal doors compliant with accessibility requirements?;No, not every door is compliant with accessibility requirements;"Based on my analysis of all 14 doors in your IFC project, not all internal doors are compliant with accessibility requirements.

Summary
Accessibility Standard: Most building codes require a minimum clear door width of 815mm (32 inches) for accessible routes and entrances.

Results:

8 doors are COMPLIANT (✓) - width ≥ 815mm
6 doors are NON-COMPLIANT (✗) - width < 815mm
Non-Compliant Doors
The following doors do not meet accessibility requirements:

4 doors at 762mm (30 inches) wide:
GUID: 1aj$VJZFn2TxepZUBcKpac
GUID: 1aj
V
J
Z
F
n
2
T
x
e
p
Z
U
B
c
K
p
VJZFn2TxepZUBcKpi
GUID: 1hOSvn6df7F8_7GcBWlS8Z
GUID: 1hOSvn6df7F8_7GcBWlS9F
2 doors at 813mm (32 inches) wide - These are marginally below the standard:
GUID: 1s1jVhK8z0pgKYcr9jt7AB
GUID: 1s1jVhK8z0pgKYcr9jt781
Recommendations
To make all internal doors compliant with accessibility requirements, you should:

Replace the 762mm doors with doors that are at least 815mm wide (864mm is a common standard size)
Adjust the 813mm doors to 815mm minimum, or replace with 864mm doors for a comfortable margin
Verify that these doors are on accessible routes - if they're to storage closets or non-public areas, accessibility requirements may differ depending on local codes
Would you like me to help you update these doors to compliant dimensions?
";WAHR;Indirectly accessible information
arc;duplex;What is the floor-to-floor height between the ground floor and first floor?;The floor-to-floor height between the ground floor and the first floor is 3.1 m;"The floor-to-floor height between the ground floor (Level 1) and first floor (Level 2) is 3.100 meters (approximately 10 feet 2 inches).
Here's the complete vertical structure of the building:

T/FDN (Top of Foundation): -1.250 m
Level 1 (Ground Floor): 0.000 m
Level 2 (First Floor): 3.100 m
Roof: 6.000 m
Wiederholen";WAHR;Directly accessible information
arc;duplex;What is the total area of glazing on the façade?;It is not possible to get the exact glazing area from this model. The total window area in the model is 65.94 sqm.;"Perfect! I've calculated the total glazing area on the façade.
Total Glazing Area: 65.94 m²
The building has 24 windows across all façades with the following breakdown by type:
Large Windows:

4 windows at 2.8m × 2.41m = 6.748 m² each (total: 26.99 m²)
2 windows at 4.835m × 2.42m = 11.701 m² each (total: 23.40 m²)

Medium Windows:

4 windows at 0.75m × 2.2m = 1.650 m² each (total: 6.60 m²)

Small Windows:

12 fixed/casement windows at 0.819m × 0.759m = 0.622 m² each (total: 7.46 m²)

Skylights:

2 skylights at 1.173m × 0.635m = 0.744 m² each (total: 1.49 m²)

The total glazing area represents the sum of all window openings on the building's exterior walls and roof.";WAHR;Insufficient information
arc;duplex;Which rooms have direct access to outdoor spaces?;10 rooms have some form of outdoor access: 4 rooms have direct access through doors and 6 have windows to the outside.;"Based on the IFC model analysis, 4 rooms have direct access to outdoor spaces:

A101 - Has an exterior door (1250mm x 2010mm) in an exterior brick on block wall
A102 - Has an exterior glass door (0813 x 2420mm) in an exterior brick on block wall
B101 - Has an exterior door (1250mm x 2010mm) in an exterior brick on block wall
B102 - Has an exterior glass door (0813 x 2420mm) in an exterior brick on block wall

All these rooms are located on Level 1 (ground floor) and each has a single door that opens directly to the outside through an exterior wall. The exterior doors are identified by being installed in walls named ""Basic Wall:Exterior - Brick on Block"", which distinguishes them from the interior partition walls that contain the interior doors.Wiederholen";WAHR;Directly accessible information
arc;duplex;Are the walls of room A203 load bearing?;Room A203 contains three wall types: non-load-bearing interior partitions, a CMU party wall with potential structural function, and a likely load-bearing exterior brick wall.;"Based on my analysis of the IFC model, here's what I found about the walls in room A203 (Bedroom 2) on Level 2:
Load-Bearing Wall Assessment:
NON-LOAD-BEARING Walls (confirmed):

Interior Partition walls (92mm Stud) - The IFC properties explicitly indicate LoadBearing: False for these walls
Interior Plumbing wall (152mm Stud) - Also marked as LoadBearing: False

POTENTIALLY LOAD-BEARING Walls:

Exterior walls (Brick on Block) - While the IFC property shows LoadBearing: False, these exterior walls have Function: 1 (exterior function) and typically carry structural loads in multi-story residential buildings
Party Wall (CMU Residential Unit Dividing Wall) - This CMU (Concrete Masonry Unit) wall with Function: 5 (party wall) is typically load-bearing as it separates residential units and often supports the structure above

Summary:
The interior partition and plumbing walls in room A203 are NOT load-bearing. However, the exterior walls and party wall are more complex - while tagged as non-load-bearing in the model properties, their construction type (brick on block and CMU) and function suggest they likely do carry structural loads.
Important Note: For any renovation or structural modification work, you should consult with a structural engineer who can physically inspect the building and review structural drawings, as IFC model properties may not always accurately reflect the actual structural role of building elements.Wiederholen";WAHR;Directly accessible information
